"Y" "X1" "X2" "X3" "X4" "W"
204 121.36 31.32 10.77 92.27 "A"
201.82 119.84 31.28 9.97 91.1 "B"
195.17 112.49 30.27 9.61 87.01 "B"
198.55 119.29 27.48 10.31 86.51 "C"
203.8 118.47 31.36 9.97 90.48 "A"
198.23 121.65 28.95 8.92 89.37 "C"
205.28 121.52 31.27 10.02 92.29 "B"
192.97 117.98 26.54 8.94 85.68 "A"
212.37 127.65 30.96 9.79 94.98 "C"
197.3 110.59 32.06 9.35 87.97 "C"
202.84 121.26 29.98 8.91 90.55 "A"
191.74 115.08 28.26 10.52 85.16 "C"
198.19 121 28.37 10.73 88.67 "A"
204.54 122.21 30.01 10.35 91.22 "C"
202.47 118.66 31.43 10.16 90.64 "A"
198.55 120.86 28.69 10.62 88.62 "C"
192.89 112.68 30.16 8.35 85.81 "C"
193.08 116.72 27.53 9.82 86.73 "B"
205.47 124.7 32.09 8.63 94.78 "A"
198.05 122.4 27.21 8.56 87.71 "B"
210.41 121.48 34.01 10.39 94.62 "B"
211.01 129.71 30.09 11.02 94.16 "B"
205.6 122.02 31.8 10.56 92.58 "B"
190.27 117.73 26.66 10.7 84.83 "A"
202.34 121.27 30.8 9.65 92.61 "B"
190.77 109.99 30.15 8.32 84.63 "C"
200.72 122.69 28.74 9.66 90.27 "A"
210.41 124.24 32.03 10.61 94.13 "C"
208.77 129.14 30.69 10.21 95.6 "A"
192.92 116.16 28.66 10.23 86.44 "C"
206.06 125.61 29.09 9.52 92.21 "B"
201.31 117.29 31.79 10.44 90.16 "B"
196.88 118.85 29.25 10.28 89.31 "C"
203.63 123.59 31.34 10.45 92.95 "B"
207.84 121.28 32.16 9.94 93.39 "B"
199.88 116.18 30.26 9.65 88.66 "A"
199.16 122.18 28.32 9.64 89.24 "A"
190.11 113.34 30.14 8.53 86.31 "C"
190.92 120.54 25.56 10.11 87.23 "C"
207.42 121.93 32.26 10.5 93.34 "C"
194.97 121.15 27.48 8.97 87.87 "A"
197.28 118.61 29.38 11.9 88.9 "C"
200.89 123.24 30.1 12.18 92.72 "A"
209.32 121.29 32.7 9.73 92.93 "A"
196.56 118.52 30.09 10.77 88.92 "C"
202.12 118.49 30.56 11.64 89.25 "B"
196.97 116.9 30.19 11.37 88.26 "B"
212.65 130.99 31.73 10.55 97.06 "A"
195.86 116.51 28.53 9.09 87.6 "C"
195.26 119.13 28.59 10.55 87.81 "B"
214.2 128.62 32.5 10.12 96.11 "B"
204.08 123.86 30.73 9.19 92.92 "B"
211.02 122.97 34.24 10.65 96.91 "B"
210.31 122.22 33.03 11.08 95.18 "A"
214.62 126.79 33.96 7.95 97.36 "A"
201.25 123.41 27.89 9.87 89.35 "C"
202.13 117.12 31.22 9.43 89.58 "B"
200.31 118.23 32.01 9.09 91.47 "B"
190.46 118.6 27.33 8.15 86.4 "A"
186.89 111.39 27.72 9.02 82.86 "A"
204.8 123.9 29.23 9.56 91.36 "B"
212.96 124.91 33.72 9.46 95.93 "A"
197.62 121.59 28.86 8.94 89.9 "A"
192.83 111.03 29.68 9.05 84.74 "A"
203.11 122.93 30.96 9.84 92.96 "B"
206.61 123.42 28.41 10.12 90.43 "C"
201.79 113.5 32.19 8.05 89.32 "C"
203.82 120.95 31.04 9.84 92.25 "B"
191.1 115.97 29.31 10.09 87.59 "C"
196.08 119.98 30.08 9.07 90.14 "A"
206.58 123.49 31.62 9.71 92.87 "A"
204.43 122.11 31.59 10.11 92.62 "B"
195.8 118.66 28.67 8.46 87.68 "A"
204.64 122.68 32.08 10.53 94.15 "A"
202.75 117.34 32.47 9.46 91.18 "A"
195.3 119.19 29.11 8.36 87.63 "B"
196.57 118.18 29.64 9.84 88.65 "B"
193.09 121.65 26.64 10.11 87.8 "C"
192.57 121.76 26.83 10.14 88.35 "A"
211.64 129.12 30.39 8.81 94.56 "A"
206.69 123.51 31.45 9.98 93.46 "A"
210.47 128.95 30.16 7.61 93.85 "C"
206.48 119.61 32.4 8.34 92.93 "C"
200.27 117.34 30.02 10.56 88.93 "B"
205.86 122.04 32.72 9.55 94.02 "A"
205.02 120.11 32.13 9.89 92.2 "A"
202.82 120.47 31.02 9.84 90.28 "B"
195.9 122.28 27.58 11.14 88.58 "C"
202.9 125.66 28.92 10.09 91.85 "B"
205.51 124.08 30.01 9.12 92.48 "B"
196.14 118.85 27 8.66 86.33 "A"
194.44 122.25 26.96 10.72 87.5 "B"
202.01 119.78 29.94 10.68 89.74 "A"
204.32 121.66 31.12 11.04 92.75 "C"
196.47 119.99 27.32 12.44 87.12 "C"
187.65 114.92 27.36 8.37 84.95 "C"
200.37 118 30.57 9.96 89.57 "B"
200.22 120.32 30.44 11.1 90.77 "A"
198.63 121.93 28.03 9.68 89.36 "B"
189.16 117.88 27.64 9.87 86.79 "A"
207.63 117.96 36.1 7.39 94.54 "A"
206.69 130.09 28.87 10.95 93.16 "A"
